time;status;gx;gy;gz;ax;ay;az
2022-12-01T08:35:49.015;77;0.51112196;-0.46432292;1.92127821;2.82836914;4.52758789;8.47991943
2022-12-01T08:35:49.025;77;0.53851997;-0.41562500;1.85879991;2.99560547;4.50988770;8.43551636
2022-12-01T08:35:49.035;77;0.54257813;-0.37020399;1.80376519;3.18344116;4.43222046;8.43170166
2022-12-01T08:35:49.045;77;0.52822266;-0.33133681;1.76985677;3.31893921;4.28009033;8.41934204
2022-12-01T08:35:49.055;77;0.49188368;-0.29294705;1.76561415;3.49807739;4.25247192;8.37173462
2022-12-01T08:35:49.065;77;0.44892578;-0.25491536;1.75897352;3.62991333;4.32525635;8.25225830
2022-12-01T08:35:49.075;77;0.39163411;-0.22569444;1.73695747;3.74023438;4.42764282;8.11477661
2022-12-01T08:35:49.085;77;0.33971354;-0.22105035;1.69435764;3.84628296;4.55886841;8.06045532
2022-12-01T08:35:49.095;77;0.29184028;-0.21917318;1.62777778;3.88900757;4.57473755;8.14025879
2022-12-01T08:35:49.105;77;0.25567491;-0.20909288;1.56021050;3.95126343;4.53872681;8.13110352
2022-12-01T08:35:49.115;77;0.23922526;-0.19883898;1.51036241;4.05654907;4.46685791;8.08181763
2022-12-01T08:35:49.125;77;0.24423828;-0.18141276;1.48160807;4.21752930;4.41024780;7.99972534
2022-12-01T08:35:49.135;77;0.26305339;-0.16761068;1.46852214;4.36309814;4.41131592;7.85491943
2022-12-01T08:35:49.145;77;0.28337674;-0.16057943;1.45136719;4.52529907;4.45556641;7.74887085
2022-12-01T08:35:49.155;77;0.29906684;-0.14814453;1.41508247;4.67742920;4.56710815;7.74459839
2022-12-01T08:35:49.165;77;0.30845269;-0.12475043;1.34798177;4.78500366;4.65621948;7.78167725
2022-12-01T08:35:49.175;77;0.29447700;-0.09702691;1.25680339;4.91348267;4.72076416;7.82913208
2022-12-01T08:35:49.185;77;0.26782769;-0.06335720;1.15754123;4.98855591;4.73068237;7.84057617
2022-12-01T08:35:49.195;77;0.24388021;-0.02225477;1.05891927;5.14007568;4.68292236;7.83248901
2022-12-01T08:35:49.205;77;0.21549479;0.01803385;0.96195747;5.28442383;4.73785400;7.82135010
2022-12-01T08:35:49.215;77;0.19117839;0.06541884;0.85632595;5.37948608;4.85580444;7.85308838
